x,y,z,type
72.9805,-99.211,0,default
-58.3401,-0.392281,0,default
-89.0143,-74.5994,0,default
84.8012,95.9327,0,default
87.6789,-87.5848,0,default
-103.463,83.1248,0,default
-100.682,-88.1107,0,default
130.72,85.4349,0,default
119.661,-82.6137,0,default
-121.525,79.8829,0,default
-119.289,-84.2,0,default
2.52963,99.6207,0,default
15.503,-105.021,0,default
-16.996,89.2308,0,default
-1.47685,-98.6765,0,default
39.9809,99.0546,0,default
20.7139,-122.152,0,default
-33.1306,94.039,0,default
-19.0828,-94.103,0,default
72.2413,109.553,0,default
61.9218,-114.438,0,default
102.072,-76.9131,0,default
-53.0304,-95.2428,0,default
89.7001,116.124,0,default
90.4647,-106.253,0,default
-82.7495,114.619,0,default
-93.8158,-106.233,0,default
119.831,101.437,0,default
108.047,-113.498,0,default
-109.294,101.172,0,default
-78.3074,-9.47758,0,default
-2.28501,117.068,0,default
56.3614,8.36732,0,default
32.4069,135.151,0,default
23.5763,-151.926,0,default
-16.4494,105.411,0,default
-11.7169,-113.396,0,default
60.1582,122.763,0,default
26.4965,-136.032,0,default
-33.7833,111.92,0,default
-61.7066,-126.317,0,default
104.622,51.5651,0,default
79.4321,-121.455,0,default
-69.4567,141.725,0,default
-88.9854,-133.792,0,default
8.3871,155.329,0,default
10.2098,-136.134,0,default
-19.4615,123.365,0,default
-7.53455,-131.137,0,default
48.5236,154.494,0,default
41.5497,-144.296,0,default
-5.35548,168.84,0,default
-20.6217,-143.813,0,default
-25.3104,-126.015,0,default
52.0812,60.4501,0,default
-136.505,-73.6996,0,default
-90.5548,97.3543,0,default
67.6325,-62.4096,0,default
-67.413,-141.095,0,default
-79.6116,19.29,0,default
-4.07181,86.4118,0,default
35.4567,5.65107,0,default
-74.3435,-34.3366,0,default
7.56577,18.6505,0,default
40.0485,-3.06896,0,default
19.4782,97.9516,0,default
-53.2491,-110.159,0,default
36.1856,-45.3953,0,default
-79.0218,-119.682,0,default
99.0193,22.7698,0,default
36.5388,40.81,0,default
-71.5669,-60.8018,0,default
-85.4345,80.9448,0,default
51.4713,-130.577,0,default
-33.4194,-156.384,0,default
105.313,-94.5887,0,default
38.3063,30.5054,0,default
54.3347,106.538,0,default
100.969,37.8525,0,default
115.882,58.6131,0,default
49.1714,135.857,0,default
-96.5012,15.0595,0,default
-44.1634,-131.707,0,default
-82.1176,-91.0613,0,default
14.0781,111.739,0,default
-45.2694,-32.8445,0,default
96.1222,6.73146,0,default
84.1795,63.5877,0,default
-99.4847,-24.6636,0,default
-33.774,-84.5216,0,default
10.5263,0.580515,0,default
82.6579,19.5496,0,default
45.9784,8.47172,0,default
-68.929,-12.3017,0,default
-34.1099,15.5781,0,default
31.9385,56.1874,0,default
-93.4354,-2.36474,0,default
-48.3905,53.677,0,default
-6.86154,2.35592,0,default
-74.4953,28.1697,0,default
-71.4066,90.0458,0,default
91.9955,79.1471,0,default
122.797,-101.19,0,default
-39.3428,-116.675,0,default
-25.4892,155.938,0,default
85.5498,-68.8138,0,default
46.3373,-101.394,0,default
4.61329,-118.76,0,default
101.188,65.5146,0,default
29.5197,-92.8094,0,default
-42.6292,-51.0003,0,default
-24.1389,140.195,0,default
-38.8844,-68.2982,0,default
65.8995,138.704,0,default
-40.4352,158.217,0,default
41.2686,119.483,0,default
-65.2455,12.9174,0,default
-66.5192,53.3529,0,default
-73.5009,-76.4271,0,default
-9.92315,151.141,0,default
15.362,-15.0988,0,default
9.96153,-68.9585,0,default
19.9713,-39.2199,0,default
-38.6588,-100.451,0,default
111.519,-25.3245,0,default
-112.442,-102.638,0,default
108.574,-6.6731,0,default
11.0092,126.246,0,default
-74.2812,38.2264,0,default
101.783,103.748,0,default
54.2358,-73.4139,0,default
-16.2931,-161.425,0,default
-85.8865,-15.8597,0,default
82.366,-35.1962,0,default
131.505,57.2206,0,default
127.143,-16.035,0,default
-67.0843,-98.1967,0,default
116.537,-65.8236,0,default
23.5976,11.8582,0,default
-59.8709,-43.6798,0,default
-49.5282,101.917,0,default
79.9024,2.78318,0,default
-41.1126,-0.287741,0,default
-121.843,47.9309,0,default
-146.217,-12.7039,0,default
112.454,-74.1037,0,default
-76.3431,-46.45,0,default
127.116,-33.8654,0,default
71.7128,-46.4505,0,default
-75.9865,-23.4362,0,default
32.1036,-110.096,0,default
45.9609,-117.222,0,default
-67.0513,-111.749,0,default
-76.6703,67.1744,0,default
-130.312,13.1266,0,default
-30.5424,49.758,0,default
142.112,-25.5671,0,default
43.1502,-85.6505,0,default
16.8874,140.085,0,default
38.0234,16.5884,0,default
-126.433,-2.12413,0,default
146.196,47.4249,0,default
-48.5755,-80.9916,0,default
26.9452,41.3515,0,default
38.9044,-72.7198,0,default
-14.5843,43.87,0,default
-49.7306,118.679,0,default
-109.916,2.21736,0,default
67.3534,14.5964,0,default
-2.81578,-149.274,0,default
-15.8029,17.5543,0,default
-26.4274,31.7429,0,default
-62.3235,91.8945,0,default
41.3348,-15.0175,0,default
71.3243,-79.7897,0,default
-24.1641,64.4344,0,default
143.244,70.9913,0,default
-51.2315,-156.551,0,default
-124.499,-49.666,0,default
-22.8107,-26.5601,0,default
-4.27863,30.9853,0,default
53.2586,34.7958,0,default
113.956,29.3768,0,default
-66.3594,123.326,0,default
68.8184,31.2001,0,default
-9.54529,59.477,0,default
67.2619,62.6028,0,default
-141.454,-54.9757,0,default
37.2471,-128.138,0,default
-40.1871,143.242,0,default
-78.1983,-105.753,0,default
-135.944,-36.6792,0,default
40.7352,71.1284,0,default
-59.4692,-71.6969,0,default
-70.6494,80.812,0,default
-66.5176,106.525,0,default
59.5146,47.9239,0,default
90.908,49.5133,0,default
-2.47231,135.232,0,default
29.4668,152.137,0,default
57.919,-90.0002,0,default
75.9419,126.372,0,default
-142.151,3.33468,0,default
116.639,73.9725,0,default
22.4349,26.9539,0,default
66.2494,-132.476,0,default
57.4509,76.0322,0,default
-36.2981,-125.692,0,default
-36.5453,128.735,0,default
-52.8233,134.533,0,default
-48.1894,84.3171,0,default
126.302,39.9234,0,default
28.9718,-61.1666,0,default
-26.4302,-109.129,0,default
85.4462,35.2205,0,default
-0.721645,75.4842,0,default
